"config_bits","config_decimal","L1_heat_tracking","L2_rolling_window","L3_linear_decay","L4_pipelining_metrics","L5_window_inference","L6_decay_inference","L7_adaptive_heartrate","n_reps","mean_ns","sd_ns","se_ns","min_ns","max_ns","cv_pct","rank","is_best","is_worst","L1234","L567","speed_norm","stability_norm","optimality_score","steady_state_score","optimality_rank","optimality_percentile","is_top5pct"
"0101010",169,"0","1","0","1","0","1","0",300,48690843.6543701,8840299.52546963,510394.931074681,38840294.0644301,102024977.119751,18.1559793628184,80,FALSE,FALSE,"0101","010",0.613062467116841,0.333960650042531,0.698122700078014,0.445601376872255,86,33.59375,FALSE
"1101000",231,"1","1","0","1","0","0","0",300,50871749.4781308,7803037.03722696,450508.55339396,40129814.2386136,82895454.073317,15.3386449596773,101,FALSE,FALSE,"1101","000",0.691258577899462,0.119374773174025,0.701490383390917,0.3481282950642,87,32.8125,FALSE
"1101100",235,"1","1","0","1","1","0","0",300,50686082.3937318,8093378.80210437,467271.443004857,40471879.8347034,91184891.7342813,15.9676550640364,100,FALSE,FALSE,"1101","100",0.684601507363826,0.167284131982323,0.704743360875363,0.374211082134924,88,32.03125,FALSE
"1111000",247,"1","1","1","1","0","0","0",300,48851755.3798948,9070399.96310591,523679.786035677,38590016.7251722,124688289.81293,18.5671935277865,82,FALSE,FALSE,"1111","000",0.618831937296739,0.365281302667945,0.718598216458422,0.466701556519462,89,31.25,FALSE
"0001111",142,"0","0","0","1","1","1","1",300,51508520.7544871,7850188.2531043,453230.8301119,42761097.0148856,98616362.5434348,15.2405624120363,107,FALSE,FALSE,"0001","111",0.714089933901479,0.111904190531239,0.722804940186404,0.352778487879335,90,30.46875,FALSE
"1101001",232,"1","1","0","1","0","0","1",300,51017563.9961964,8372866.77237515,483407.688491967,40506795.4818929,91438750.9122417,16.4117337570241,104,FALSE,FALSE,"1101","001",0.696486739557865,0.201107953402722,0.724940126701355,0.399259467864779,91,29.6875,FALSE
"1101110",237,"1","1","0","1","1","1","0",300,50993278.2561742,8450197.78540477,487872.396610903,41272202.3799156,97714321.6031993,16.571199331319,103,FALSE,FALSE,"1101","110",0.695615977328462,0.213253852750791,0.727570473306667,0.406198702581859,92,28.90625,FALSE
"0100001",160,"0","1","0","0","0","0","1",300,32621872.5806591,7643761.95617098,441312.802301673,25400929.485892,121983754.067096,23.431401545915,31,FALSE,FALSE,"0100","001",0.0369114804245645,0.735769925416156,0.736695215495546,0.456226547419519,93,28.125,FALSE
"1101010",233,"1","1","0","1","0","1","0",300,51036642.4319336,8669452.90498161,500531.096841791,39975722.372806,121101063.792046,16.9867226601825,105,FALSE,FALSE,"1101","010",0.697170794530901,0.244902718353713,0.73893467790048,0.425809948824588,94,27.34375,FALSE
"1101101",236,"1","1","0","1","1","0","1",300,50901872.7901533,8739307.6340101,504564.161502668,40195714.2466119,137125278.286603,17.1689314262336,102,FALSE,FALSE,"1101","101",0.692338645556849,0.258780881979801,0.739121333077145,0.43220398741062,95,26.5625,FALSE
